customerid,Unnamed: 0,partner,tenure,monthlycharges,totalcharges
5575-GNVDE,1,No,34,56.95,1889.5
1452-KIOVK,6,No,22,89.1,1949.4
7892-POOKP,8,Yes,28,104.8,3046.05
6388-TABGU,9,No,62,56.15,3487.95
8091-TTVAX,12,Yes,58,100.35,5681.1
0280-XJGEX,13,No,49,103.7,5036.3
5129-JLPIS,14,No,25,105.5,2686.05
3655-SNQYZ,15,Yes,69,113.25,7895.15
9959-WOFKT,17,No,71,106.7,7382.25
4183-MYFRB,19,No,21,90.05,1862.9
3638-WEABW,23,Yes,58,59.9,3505.1
6322-HRPFA,24,Yes,49,59.6,2970.3
6865-JZNKO,25,No,30,55.3,1530.6
6467-CHFZW,26,Yes,47,99.35,4749.15
5248-YGIJN,28,Yes,72,90.25,6369.45
8773-HHUOZ,29,No,17,64.7,1093.1
3841-NFECX,30,Yes,71,96.35,6766.95
6827-IEAUQ,32,Yes,27,66.15,1874.45
6234-RAAPL,35,Yes,72,99.9,7251.7
6572-ADKRS,37,No,46,74.8,3548.3
5380-WJKOV,38,No,34,106.35,3549.25
8168-UQWWF,39,No,11,97.85,1105.4
9489-DEDVP,41,Yes,70,69.2,4872.35
4671-VJLCL,43,No,63,79.85,4861.45
4080-IIARD,44,Yes,13,76.2,981.45
3714-NTNFO,45,No,49,84.5,3906.7
7639-LIAYI,48,No,52,79.75,4217.8
2954-PIBKO,49,Yes,69,64.15,4254.1
8012-SOUDQ,50,No,43,90.25,3838.75
9420-LOJKX,51,No,15,99.1,1426.4
6575-SUVOI,52,Yes,25,69.5,1752.65
4667-QONEA,54,Yes,60,74.85,4456.35
1658-BYGOY,55,No,18,95.45,1752.55
8769-KKTPH,56,Yes,63,99.65,6311.2
5067-XJQFU,57,Yes,66,108.45,7076.35
5954-BDFSG,59,No,72,107.5,7853.7
0434-CSFON,60,Yes,47,100.5,4707.1
1215-FIGMP,61,No,60,89.9,5450.7
0557-ASKVU,63,Yes,18,54.4,957.1
8627-ZYGSZ,66,Yes,47,78.9,3650.35
3410-YOQBQ,67,No,31,79.2,2497.2
1891-QRQSA,72,Yes,64,111.6,7099
2673-CXQEU,75,No,56,110.5,6139.5
6416-JNVRK,76,No,46,55.65,2688.85
0191-ZHSKZ,78,No,30,74.75,2111.3
8108-UXRQN,81,Yes,11,50.55,565.35
9919-YLNNG,83,No,42,103.8,4327.5
4808-YNLEU,86,Yes,35,62.15,2215.45
4767-HZZHQ,90,Yes,30,82.05,2570.2
7233-PAHHL,92,Yes,66,84.0,5714.25
6067-NGCEU,93,No,65,111.05,7107
9848-JQJTX,94,No,72,100.9,7459.05
8637-XJIVR,95,No,12,78.95,927.35
9803-FTJCG,96,Yes,71,66.85,4748.7
4598-XLKNJ,99,Yes,25,98.5,2514.5
7123-WQUHX,102,No,38,95.0,3605.6
3192-NQECA,104,Yes,68,110.0,7611.85
6728-DKUCO,106,Yes,72,104.15,7303.05
8597-CWYHH,108,No,43,94.35,3921.3
0486-HECZI,110,Yes,55,96.75,5238.9
4549-ZDQYY,111,No,52,57.95,3042.25
5712-AHQNN,112,No,43,91.65,3954.1
4846-WHAFZ,113,Yes,37,76.5,2868.15
5256-SKJGO,114,Yes,64,54.6,3423.5
9445-ZUEQE,119,Yes,27,85.2,2151.6
1091-SOZGA,120,Yes,56,99.8,5515.45
4622-YNKIJ,125,No,33,88.95,3027.65
4412-YLTKF,126,No,27,78.05,2135.5
2639-UGMAZ,129,No,71,56.45,3985.35
2876-GZYZC,130,No,13,85.95,1215.65
6207-WIOLX,131,Yes,25,58.6,1502.65
8587-XYZSF,132,No,67,50.55,3260.1
7850-VWJUU,136,No,23,75.0,1778.5
3146-MSEGF,140,Yes,72,88.05,6425.65
1095-WGNGG,142,Yes,61,101.05,5971.25
2636-SJDOU,143,No,64,84.3,5289.05
5716-EZXZN,145,Yes,65,99.05,6416.7
6440-DKQGE,148,No,30,64.5,1929.95
3466-BYAVD,149,Yes,15,69.5,1071.4
1679-JRFBR,152,Yes,70,108.15,7930.55
9073-ZZIAY,153,Yes,62,86.1,5215.25
6551-GNYDG,155,Yes,14,80.9,1152.8
9167-APMXZ,156,No,22,84.15,1821.95
6371-NZYEG,158,Yes,16,64.25,1024
8992-VONJD,160,No,13,56.0,764.55
0867-MKZVY,161,Yes,20,82.4,1592.35
4648-YPBTM,163,No,53,73.9,3958.25
5997-OPVFA,167,Yes,72,89.05,6254.45
7654-YWJUF,170,Yes,43,84.25,3539.25
6727-IOTLZ,172,Yes,14,81.95,1181.75
0691-JVSYA,173,Yes,53,94.85,5000.2
2656-FMOKZ,176,No,15,74.45,1145.7
5947-SGKCL,178,Yes,15,105.35,1559.25
5524-KHNJP,183,Yes,33,74.75,2453.3
1918-ZBFQJ,184,No,13,79.25,1111.65
4827-USJHP,186,No,20,51.8,1023.85
8017-UVSZU,189,Yes,40,56.6,2379.1
7100-FQPRV,190,Yes,43,71.9,3173.35
9680-NIAUV,193,Yes,72,109.7,8129.3
2604-IJPDU,195,Yes,20,96.55,1901.65
6168-YBYNP,197,No,59,111.35,6519.75
7255-SSFBC,198,Yes,72,112.25,8041.65
9323-HGFWY,200,Yes,27,101.9,2681.15
8544-GOQSH,201,No,14,80.05,1112.3
3363-DTIVD,202,Yes,71,105.55,7405.5
7018-WBJNK,203,No,13,78.3,1033.95
9142-KZXOP,204,No,44,68.85,2958.95
7674-YTAFD,205,No,33,79.95,2684.85
6348-SNFUS,206,Yes,72,55.45,4179.2
7825-ECJRF,208,No,19,106.6,1934.45
1347-KTTTA,209,Yes,64,102.45,6654.1
2504-DSHIH,214,Yes,23,86.8,1975.85
0699-NDKJM,215,Yes,57,58.75,3437.45
0230-WEQUW,217,Yes,66,56.6,3789.2
2040-LDIWQ,218,Yes,65,84.2,5324.5
6778-JFCMK,225,No,24,50.6,1288.75
6341-JVQGF,226,Yes,31,81.15,2545.75
4811-JBUVU,228,No,30,89.9,2723.15
0945-TSONX,229,Yes,47,85.3,4107.25
2651-ZCBXV,230,No,54,108.0,5760.65
3316-UWXUY,231,No,50,93.5,4747.5
9903-LYSAB,237,Yes,18,73.15,1305.95
0094-OIFMO,238,No,11,95.0,1120.3
7301-ABVAD,240,No,72,86.6,6350.5
