,partner,total_charges
0,Yes,2985.0
1,No,18895.0
2,No,10815.0
3,No,184075.0
4,No,15165.0
5,No,8205.0
6,No,19494.0
7,No,3019.0
8,Yes,304605.0
9,No,348795.0
10,Yes,58745.0
11,No,3268.0
12,Yes,56811.0
13,No,50363.0
14,No,268605.0
15,Yes,789515.0
16,No,102295.0
17,No,738225.0
18,Yes,52835.0
19,No,18629.0
20,No,3965.0
21,Yes,20225.0
22,No,2015.0
23,Yes,35051.0
24,Yes,29703.0
25,No,15306.0
26,Yes,474915.0
27,Yes,302.0
28,Yes,636945.0
29,No,10931.0
30,Yes,676695.0
31,Yes,18165.0
32,Yes,187445.0
33,No,202.0
34,No,4525.0
35,Yes,72517.0
36,No,3169.0
37,No,35483.0
38,No,354925.0
39,No,11054.0
40,Yes,4757.0
41,Yes,487235.0
42,Yes,41825.0
43,No,486145.0
44,Yes,98145.0
45,No,39067.0
46,No,97.0
47,No,14415.0
48,No,42178.0
49,Yes,42541.0
50,No,383875.0
51,No,14264.0
52,Yes,175265.0
53,Yes,6333.0
54,Yes,445635.0
55,No,175255.0
56,Yes,63112.0
57,Yes,707635.0
58,Yes,8943.0
59,No,78537.0
60,Yes,47071.0
61,No,54507.0
62,Yes,2962.0
63,Yes,9571.0
64,No,85725.0
65,No,2441.0
66,Yes,365035.0
67,No,24972.0
68,Yes,9309.0
69,No,88735.0
70,No,4905.0
71,Yes,109065.0
72,Yes,7099.0
73,Yes,14246.0
74,No,1774.0
75,No,61395.0
76,No,268885.0
77,Yes,48225.0
78,No,21113.0
79,Yes,12166.0
80,No,7935.0
81,Yes,56535.0
82,Yes,4969.0
83,No,43275.0
84,Yes,97335.0
85,No,91875.0
86,Yes,221545.0
87,Yes,1057.0
88,Yes,9271.0
89,Yes,100925.0
90,Yes,25702.0
91,No,747.0
92,Yes,571425.0
93,No,7107.0
94,No,745905.0
95,No,92735.0
96,Yes,47487.0
97,No,11385.0
98,No,11072.0
99,Yes,25145.0
100,No,202.0
101,Yes,1945.0
102,No,36056.0
103,Yes,302725.0
104,Yes,761185.0
105,No,1002.0
106,Yes,730305.0
107,No,92765.0
108,No,39213.0
109,Yes,136325.0
110,Yes,52389.0
111,No,304225.0
112,No,39541.0
113,Yes,286815.0
114,Yes,34235.0
115,Yes,2484.0
116,No,112635.0
117,Yes,106465.0
118,No,83515.0
119,Yes,21516.0
120,Yes,551545.0
121,No,11275.0
122,No,22955.0
123,Yes,35035.0
124,Yes,629.0
125,No,302765.0
126,No,21355.0
127,Yes,172395.0
128,No,1975.0
129,No,398535.0
130,No,121565.0
131,Yes,150265.0
132,No,32601.0
133,No,3545.0
134,No,8125.0
135,No,11882.0
136,No,17785.0
137,Yes,127775.0
138,No,117055.0
139,Yes,7045.0
140,Yes,642565.0
141,No,56365.0
142,Yes,597125.0
143,No,528905.0
144,Yes,17562.0
145,Yes,64167.0
146,No,6135.0
147,No,4565.0
148,No,192995.0
149,Yes,10714.0
150,Yes,56435.0
151,No,6555.0
152,Yes,793055.0
153,Yes,521525.0
154,Yes,1135.0
155,Yes,11528.0
156,No,182195.0
157,Yes,4199.0
158,Yes,1024.0
159,No,2516.0
160,No,76455.0
161,Yes,159235.0
162,No,1352.0
163,No,395825.0
164,Yes,2339.0
165,Yes,136345.0
166,No,273.0
167,Yes,625445.0
168,Yes,26512.0
169,Yes,3214.0
170,Yes,353925.0
171,Yes,2428.0
172,Yes,118175.0
173,Yes,50002.0
174,No,65455.0
175,Yes,7802.0
176,No,11457.0
177,No,5036.0
178,Yes,155925.0
179,Yes,1252.0
180,No,2995.0
181,No,453.0
182,No,66265.0
183,Yes,24533.0
184,No,111165.0
185,Yes,248.0
186,No,102385.0
187,No,8215.0
188,No,2448.0
189,Yes,23791.0
190,Yes,317335.0
191,Yes,531.0
192,Yes,13754.0
193,Yes,81293.0
194,Yes,11927.0
195,Yes,190165.0
196,Yes,5874.0
197,No,651975.0
198,Yes,804165.0
199,No,2075.0
200,Yes,268115.0
201,No,11123.0
202,Yes,74055.0
203,No,103395.0
204,No,295895.0
205,No,268485.0
206,Yes,41792.0
207,No,799.0
208,No,193445.0
209,Yes,66541.0
210,No,845.0
211,No,2525.0
212,No,11242.0
213,Yes,54005.0
214,Yes,197585.0
215,Yes,343745.0
216,Yes,31398.0
217,Yes,37892.0
218,Yes,53245.0
219,No,6246.0
220,No,26835.0
221,Yes,18369.0
222,Yes,202.0
223,Yes,17935.0
224,No,21935.0
225,No,128875.0
226,Yes,254575.0
227,Yes,552.0
228,No,272315.0
229,Yes,410725.0
230,No,576065.0
231,No,47475.0
232,No,846.0
233,No,15669.0
234,No,702.0
235,No,1141.0
236,No,29905.0
237,Yes,130595.0
238,No,11203.0
239,No,28435.0
240,No,63505.0
241,No,78783.0
242,Yes,318765.0
243,Yes,612615.0
244,No,7313.0
245,No,2734.0
246,No,25318.0
247,No,10743.0
248,No,4855.0
249,No,429845.0
250,Yes,461955.0
251,Yes,14715.0
252,Yes,402.0
253,No,26333.0
254,No,19305.0
255,Yes,41039.0
256,Yes,700815.0
257,No,57911.0
258,Yes,8055.0
259,Yes,122865.0
260,No,1322.0
261,No,13643.0
262,Yes,492535.0
263,No,15201.0
264,Yes,503225.0
265,Yes,552675.0
266,No,119525.0
267,No,200725.0
268,No,10996.0
269,Yes,173295.0
270,No,15112.0
271,Yes,345015.0
272,No,248.0
273,Yes,217205.0
274,No,706.0
275,Yes,4011.0
276,Yes,562485.0
277,Yes,13398.0
278,No,77195.0
279,No,24475.0
280,No,3229.0
281,No,49825.0
282,No,254.0
283,No,368775.0
284,Yes,177995.0
285,No,17836.0
286,No,92715.0
287,Yes,70.0
288,No,60655.0
289,No,4354.0
290,No,17127.0
291,No,20212.0
292,Yes,19408.0
293,No,5678.0
294,No,22035.0
295,No,2025.0
296,Yes,543645.0
297,Yes,34375.0
298,Yes,301575.0
299,No,736.0
300,No,15098.0
301,No,3961.0
302,No,35665.0
303,Yes,4109.0
304,No,31417.0
305,Yes,12291.0
306,Yes,230335.0
307,Yes,20544.0
308,Yes,374185.0
309,No,368245.0
310,No,1925.0
311,No,188625.0
312,No,48951.0
313,Yes,3416.0
314,No,41555.0
315,Yes,56864.0
316,No,13551.0
317,Yes,305865.0
318,Yes,223105.0
319,Yes,323635.0
320,No,43501.0
321,Yes,4264.0
322,No,448.0
323,Yes,4223.0
324,No,41767.0
325,Yes,51381.0
326,Yes,88005.0
327,No,13905.0
328,Yes,97365.0
329,No,147005.0
330,Yes,73935.0
331,No,16195.0
332,No,442295.0
333,No,51125.0
334,No,1558.0
335,Yes,529395.0
336,No,475985.0
337,No,614845.0
338,No,356565.0
339,Yes,6603.0
340,No,18301.0
341,Yes,62238.0
342,Yes,450865.0
343,No,132815.0
344,No,865.0
345,No,721.0
346,No,1682.0
347,Yes,13035.0
348,No,99685.0
349,Yes,64309.0
350,Yes,227875.0
351,No,6814.0
352,No,57435.0
353,Yes,3719.0
354,No,8401.0
355,No,846.0
356,No,889.0
357,Yes,68234.0
358,Yes,8051.0
359,Yes,401675.0
360,No,8375.0
361,No,395915.0
362,Yes,287855.0
363,No,9457.0
364,No,137305.0
365,No,49255.0
366,Yes,1406.0
367,No,1915.0
368,Yes,696285.0
369,Yes,812665.0
370,Yes,69025.0
371,No,1815.0
372,No,8308.0
373,Yes,56084.0
374,No,36468.0
375,No,366225.0
376,No,2535.0
377,Yes,25665.0
378,No,53087.0
379,No,141025.0
380,Yes,333905.0
381,No,5065.0
382,Yes,473235.0
383,No,9085.0
384,No,506745.0
385,Yes,21475.0
386,Yes,48747.0
387,No,234845.0
388,No,4063.0
389,No,44.0
390,No,259525.0
391,Yes,230955.0
392,No,893.0
393,No,36755.0
394,Yes,39445.0
395,No,596595.0
396,Yes,36947.0
397,No,252445.0
398,No,18037.0
399,Yes,4151.0
400,No,62415.0
401,No,2377.0
402,Yes,70076.0
403,Yes,38488.0
404,No,4194.0
405,No,146875.0
406,Yes,5812.0
407,Yes,286145.0
408,No,199.0
409,No,196.0
410,No,2337.0
411,Yes,106615.0
412,Yes,214905.0
413,No,4473.0
414,Yes,354505.0
415,Yes,119575.0
416,Yes,68589.0
417,Yes,10247.0
418,Yes,18459.0
419,No,753.0
420,Yes,13225.0
421,No,51545.0
422,No,283045.0
423,Yes,11105.0
424,No,4493.0
425,Yes,283855.0
426,Yes,53764.0
427,Yes,8586.0
428,No,139505.0
429,Yes,39757.0
430,Yes,118255.0
431,Yes,478445.0
432,No,1195.0
433,No,5189.0
434,Yes,89945.0
435,No,11838.0
436,Yes,72005.0
437,Yes,84682.0
438,Yes,31612.0
439,No,5505.0
440,Yes,188255.0
441,No,50704.0
442,Yes,60495.0
443,No,11667.0
444,Yes,293765.0
445,No,639645.0
446,No,6955.0
447,Yes,127025.0
448,Yes,75955.0
449,Yes,761155.0
450,No,164275.0
451,No,15454.0
452,Yes,35824.0
453,Yes,22271.0
454,Yes,14179.0
455,No,249465.0
456,Yes,276835.0
457,Yes,23693.0
458,Yes,38.0
459,No,751.0
460,No,1009.0
461,Yes,161405.0
462,Yes,3859.0
463,No,67325.0
464,Yes,84049.0
465,No,279975.0
466,Yes,653845.0
467,Yes,658895.0
468,No,8681.0
469,Yes,73435.0
470,No,3306.0
471,No,55.0
472,Yes,5644.0
473,Yes,131535.0
474,Yes,747.0
475,No,18615.0
476,Yes,27472.0
477,Yes,55405.0
478,No,4534.0
479,No,9948.0
480,Yes,22575.0
481,Yes,2145.0
482,No,16716.0
483,Yes,80038.0
484,Yes,68005.0
485,Yes,613085.0
486,No,1415.0
487,No,620195.0
488,No,7435.0
489,Yes,659725.0
490,No,11415.0
491,Yes,1394.0
492,Yes,39026.0
493,No,204.0
494,No,9036.0
495,Yes,178565.0
496,Yes,139765.0
497,No,13105.0
498,No,123845.0
499,No,389905.0
500,Yes,5676.0
501,Yes,454315.0
502,Yes,43268.0
503,No,550255.0
504,No,17824.0
505,No,8518.0
506,Yes,1675.0
507,Yes,50285.0
508,No,1985.0
509,Yes,18183.0
510,No,630015.0
511,Yes,3348.0
512,No,591695.0
513,No,28524.0
514,No,413195.0
515,No,15463.0
516,Yes,3026.0
517,Yes,192935.0
518,No,26545.0
519,Yes,698945.0
520,Yes,1442.0
521,Yes,47134.0
522,No,17586.0
523,Yes,3480.0
524,No,47383.0
525,Yes,839915.0
526,Yes,543035.0
527,Yes,68695.0
528,No,57063.0
529,Yes,49065.0
530,Yes,136025.0
531,No,17445.0
532,Yes,73798.0
533,No,85.0
534,No,102175.0
535,Yes,502905.0
536,Yes,19554.0
537,Yes,67442.0
538,Yes,49467.0
539,Yes,82485.0
540,No,6016.0
541,No,1955.0
542,No,8341.0
543,No,597.0
544,Yes,26472.0
545,Yes,3266.0
546,No,674425.0
547,Yes,52655.0
548,No,3116.0
549,Yes,79669.0
550,Yes,82204.0
551,Yes,115325.0
552,Yes,51475.0
553,No,259615.0
554,Yes,3808.0
555,No,199.0
556,No,27082.0
557,No,76005.0
558,No,493.0
559,Yes,60333.0
560,Yes,8905.0
561,Yes,51615.0
562,Yes,586175.0
563,No,44595.0
564,Yes,49734.0
565,Yes,166725.0
566,Yes,535775.0
567,No,35276.0
568,No,4226.0
569,Yes,110325.0
570,No,2754.0
571,No,69725.0
572,Yes,561445.0
573,Yes,32044.0
574,Yes,474765.0
575,Yes,30821.0
576,No,5979.0
577,Yes,33654.0
578,No,388.0
579,Yes,23355.0
580,No,753.0
581,No,3462.0
582,Yes,19.0
583,No,617.0
584,No,857.0
585,No,334245.0
586,Yes,851.0
587,Yes,74221.0
588,Yes,666805.0
589,Yes,807105.0
590,Yes,11748.0
591,Yes,5435.0
592,No,24386.0
593,No,456.0
594,No,71375.0
595,No,91615.0
596,No,2372.0
597,Yes,461455.0
598,Yes,141445.0
599,No,11705.0
600,No,477.0
601,Yes,485925.0
602,No,49032.0
603,No,3608.0
604,Yes,609425.0
605,Yes,30849.0
606,No,235675.0
607,Yes,830605.0
608,Yes,67864.0
609,Yes,24895.0
610,Yes,66305.0
611,No,13571.0
612,No,486035.0
613,No,34182.0
614,No,6314.0
615,No,1863.0
616,No,697675.0
617,No,488485.0
618,No,52295.0
619,Yes,3626.0
620,No,57558.0
621,Yes,335565.0
622,No,40695.0
623,No,1376.0
624,Yes,23957.0
625,Yes,19681.0
626,Yes,681945.0
627,No,794345.0
628,Yes,454725.0
629,Yes,46879.0
630,Yes,247395.0
631,Yes,65629.0
632,No,1763.0
633,No,22362.0
634,Yes,698565.0
635,No,31099.0
636,Yes,491135.0
637,Yes,579465.0
638,Yes,8553.0
639,Yes,16202.0
640,Yes,24993.0
641,No,8955.0
642,No,42872.0
643,Yes,39485.0
644,Yes,189965.0
645,No,457.0
646,Yes,344215.0
647,No,1615.0
648,No,17326.0
649,No,2223.0
650,No,746.0
651,Yes,6553.0
652,No,47525.0
653,No,1643.0
654,No,8651.0
655,Yes,61327.0
656,Yes,35975.0
657,Yes,359.0
658,Yes,69765.0
659,No,9605.0
660,No,4287.0
661,No,2005.0
662,Yes,445915.0
663,Yes,11676.0
664,No,2381.0
665,No,14515.0
666,No,14531.0
667,No,19105.0
668,Yes,40393.0
669,Yes,103945.0
670,Yes,13361.0
671,No,7505.0
672,No,4934.0
673,No,25509.0
674,No,724615.0
675,No,120395.0
676,No,6225.0
677,No,3136.0
678,Yes,377585.0
679,Yes,80.0
680,Yes,461605.0
681,No,19565.0
682,No,41884.0
683,No,711.0
684,No,499.0
685,No,12664.0
686,No,911.0
687,No,16234.0
688,No,414945.0
689,No,2045.0
690,Yes,23445.0
691,No,101305.0
692,No,2707.0
693,No,417.0
694,Yes,2065.0
695,Yes,63162.0
696,Yes,16815.0
697,Yes,401805.0
698,Yes,48116.0
699,Yes,41897.0
700,No,284845.0
701,No,25162.0
702,No,336.0
703,No,20845.0
704,No,201535.0
705,No,37398.0
706,No,2964.0
707,Yes,22634.0
708,Yes,22118.0
709,No,1955.0
710,Yes,16837.0
